FilaName 	 Orbit 	 I/E  	 Pos 	 F/P 	 Ls 	 Loct 	 Lat 	 Lon 
mir_2a_orb012814_n1_e_p2_04_f 	 012814 	 e 	 04 	 f 	    291.610 	      4.033 	    -48.683 	    -44.099 
mir_2a_orb012831_n1_i_p2_04_f 	 012831 	 i 	 04 	 f 	    292.440 	     14.450 	     61.355 	     -5.334 
mir_2a_orb012848_n1_i_p2_04_f 	 012848 	 i 	 04 	 f 	    293.290 	     14.433 	     61.599 	   -133.178 
mir_2a_orb012862_n1_i_p2_04_f 	 012862 	 i 	 04 	 f 	    293.980 	     14.450 	     61.716 	   -174.684 
mir_2a_orb012880_n1_e_p2_04_f 	 012880 	 e 	 04 	 f 	    294.890 	      2.783 	    -60.595 	   -156.242 
mir_2a_orb012897_n1_e_p2_04_f 	 012897 	 e 	 04 	 f 	    295.730 	      2.350 	    -62.906 	     69.782 
mir_2a_orb012914_n1_i_p2_04_f 	 012914 	 i 	 04 	 f 	    296.560 	     14.567 	     61.759 	    135.405 
mir_2a_orb012934_n1_e_p2_04_f 	 012934 	 e 	 04 	 f 	    297.560 	      1.250 	    -66.630 	     71.850 
mir_2a_orb012949_n1_e_p2_04_f 	 012949 	 e 	 04 	 f 	    298.300 	      0.717 	    -67.545 	     -6.265 
mir_2a_orb012986_n1_e_p1_04_f 	 012986 	 e 	 04 	 f 	    300.110 	     23.283 	    -67.991 	     -8.917 
mir_2a_orb013002_n1_e_p1_04_f 	 013002 	 e 	 04 	 f 	    300.900 	     22.650 	    -67.251 	   -117.380 
mir_2a_orb013019_n2_e_p1_04_f 	 013019 	 e 	 04 	 f 	    301.730 	     22.000 	    -65.820 	    105.425 
mir_2a_orb013032_n2_e_p1_04_f 	 013032 	 e 	 04 	 f 	    302.360 	     21.533 	    -64.217 	     85.576 
mir_2a_orb013042_n1_i_p1_04_f 	 013042 	 i 	 04 	 f 	    302.830 	     15.567 	     56.569 	     78.376 
mir_2a_orb013050_n2_e_p1_04_f 	 013050 	 e 	 04 	 f 	    303.240 	     20.933 	    -61.217 	    -79.632 
mir_2a_orb013065_n1_i_p1_04_f 	 013065 	 i 	 04 	 f 	    303.950 	     15.867 	     53.866 	    142.845 
